date,latitude,longitude,tp
2023-05-10,9.75,93.0,0.0019293837
2023-01-23,29.75,93.0,6.9476664e-06
2020-02-18,29.5,95.5,0.0020487849
2023-01-30,11.25,89.5,0.002836587
2020-08-02,17.75,69.0,0.0013974439
2022-06-22,29.75,79.75,6.314367e-07
2022-12-04,13.25,88.25,1.6424805e-05
2020-03-06,25.25,69.5,-1.8626451e-09
2024-01-25,30.25,75.5,-1.8626451e-09
2020-09-09,10.5,84.75,0.00022869557
2020-12-24,13.25,79.5,-1.8626451e-09
2023-07-02,10.75,70.25,0.0020576306
2020-10-01,19.25,73.75,1.6424805e-05
2024-02-27,32.75,89.25,-1.8626451e-09
2024-07-26,25.0,89.25,-1.8626451e-09
2023-01-05,15.0,70.75,-1.8626451e-09
2021-04-01,31.5,70.25,-1.8626451e-09
2021-10-03,36.0,83.0,1.2628734e-06
2021-12-24,25.75,73.75,-1.8626451e-09
2023-07-10,21.25,95.0,2.4637207e-05
2022-02-16,15.5,84.5,-1.8626451e-09
2024-03-12,25.5,93.5,-1.8626451e-09
2023-07-02,27.25,74.25,3.3481047e-05
2022-11-17,13.0,92.0,0.0040988363
2020-08-25,36.0,74.5,-1.8626451e-09
2023-01-15,35.5,81.5,-1.8626451e-09
2024-02-11,15.25,95.0,-1.8626451e-09
2021-11-25,32.5,96.5,2.5257468e-06
2023-09-05,26.0,79.25,-1.8626451e-09
2021-07-13,36.5,92.75,0.0009482652
2023-03-31,22.75,94.75,-1.8626451e-09
2023-12-26,9.0,96.25,3.790483e-05
2022-11-05,17.25,81.0,-1.8626451e-09
2020-03-09,8.5,74.75,-1.8626451e-09
2020-06-28,34.75,69.25,-1.8626451e-09
2024-04-06,9.5,82.25,-1.8626451e-09
2022-11-22,12.25,86.5,-1.8626451e-09
2022-09-25,13.5,79.75,-1.8626451e-09
2020-05-13,22.0,89.25,-1.8626451e-09
2023-07-24,22.25,81.0,9.475276e-06
2023-06-03,13.25,74.0,5.6225806e-05
2020-01-28,18.5,88.0,-1.8626451e-09
2023-12-19,9.75,79.5,0.0011169445
2021-04-01,15.75,72.25,-1.8626451e-09
2022-06-30,10.0,72.75,0.0008313898
2020-01-30,30.0,85.5,9.475276e-06
2024-01-11,26.5,79.75,-1.8626451e-09
2021-10-21,20.5,68.0,-1.8626451e-09
2022-08-16,18.5,77.75,-1.8626451e-09
